GENESIS-Tabelle: 12111-01i
Bevölkerung nach Nationalität und Geschlecht;;;;;;;;;;
- Gemeinden - Stichtag;;;;;;;;;;
Zensus 2011;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;
;;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung
;;Insgesamt;Insgesamt;Insgesamt;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer
;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
05;Nordrhein-Westfalen;17538251;8517934;9020318;15932038;7712957;8219081;1606214;804977;801237
051;  Düsseldorf, Regierungsbezirk;5076864;2450553;2626312;4527034;2174726;2352308;549831;275827;274004
05111;    Düsseldorf, krfr. Stadt;586291;281487;304804;491265;234155;257110;95026;47332;47694
05112;    Duisburg, krfr. Stadt;488468;237830;250638;415571;200695;214876;72897;37135;35762
05113;    Essen, krfr. Stadt;566201;270733;295468;510162;243029;267133;56039;27704;28335
05114;    Krefeld, krfr. Stadt;222247;106753;115494;198231;95141;103090;24016;11612;12404
05116;    Mönchengladbach, krfr. Stadt;255188;123761;131427;230112;111193;118919;25076;12568;12508
05117;    Mülheim an der Ruhr, krfr. Stadt;166865;79165;87700;149378;70456;78922;17487;8709;8778
05119;    Oberhausen, krfr. Stadt;210216;102088;108127;187260;90508;96752;22955;11580;11375
05120;    Remscheid, krfr. Stadt;110708;53810;56898;95726;46023;49703;14982;7787;7195
05122;    Solingen, krfr. Stadt;155265;74331;80934;136195;64835;71360;19070;9496;9574
05124;    Wuppertal, krfr. Stadt;342661;164777;177884;297149;142023;155126;45512;22754;22758
05154;    Kleve, Kreis;300989;148241;152749;274239;133685;140554;26751;14556;12195
05154004;      Bedburg-Hau;12609;6402;6208;11679;5871;5808;931;531;400
05154008;      Emmerich am Rhein, Stadt;29918;14806;15112;24414;11840;12574;5504;2966;2538
05154012;      Geldern, Stadt;32871;16266;16604;31121;15247;15874;1749;1019;730
05154016;      Goch, Stadt;32708;16203;16505;29578;14453;15125;3130;1750;1380
05154020;      Issum;11876;5767;6110;11503;5577;5926;374;190;184
