,0
0,aldenhoven
1,alfter
2,alpen
3,altena
4,altenbeken
5,altenberge
6,anroechte
7,augustdorf
8,bad berleburg
9,bad laasphe
10,bad lippspringe
11,bad oeynhausen
12,bad salzuflen
13,bad sassendorf
14,bad wuennenberg
15,barntrup
16,bedburg
17,bedburg-hau
18,beelen
19,bestwig
20,beverungen
21,blomberg
22,borchen
23,borgholzhausen
24,brakel
25,breckerfeld
26,brueggen
27,bueren
28,burbach
29,dinslaken
30,doerentrup
31,dormagen
32,drensteinfurt
33,drolshagen
34,duelmen
35,elsdorf
36,engelskirchen
37,enger
38,ennepetal
39,ense
40,erndtebrueck
41,erwitte
42,eslohe (sauerland)
43,espelkamp
44,extertal
45,finnentrop
46,freudenberg
47,gescher
48,geseke
49,gevelsberg
50,gladbeck
51,goch
52,grefrath
53,grevenbroich
54,guetersloh
55,haan
56,halle (westf.)
57,hallenberg
58,hamminkeln
59,harsewinkel
60,havixbeck
61,heek
62,hellenthal
63,herdecke
64,herten
65,herzebrock-clarholz
66,hiddenhausen
67,hille
68,hoexter
69,hopsten
70,huellhorst
71,huenxe
72,huertgenwald
73,inden
74,issum
75,juechen
76,kalkar
77,kalletal
78,kamp-lintfort
79,kempen
80,kerken
81,kevelaer
82,kirchhundem
83,kirchlengern
84,koenigswinter
85,kranenburg
86,kreuztal
87,ladbergen
88,laer
89,lage
90,langenberg
91,legden
92,lennestadt
93,leopoldshoehe
94,lichtenau
95,lindlar
96,lippetal
97,loehne
98,lotte
99,luebbecke
100,luedinghausen
101,luegde
102,marienmuenster
103,marsberg
104,medebach
105,meerbusch
106,menden (sauerland)
107,moehnesee
108,much
109,nachrodt-wiblingwerde
110,neuenrade
111,neukirchen-vluyn
112,neunkirchen
113,nideggen
114,niederkruechten
115,nieheim
116,nordkirchen
117,nordwalde
118,ochtrup
119,odenthal
120,oerlinghausen
121,olfen
122,ostbevern
123,overath
124,petershagen
125,porta westfalica
126,preußisch oldendorf
127,raesfeld
128,rahden
129,rees
130,reichshof
131,reken
132,rheda-wiedenbrueck
133,rheinberg
134,rietberg
135,roedinghausen
136,roetgen
137,rommerskirchen
138,ruethen
139,salzkotten
140,sassenberg
141,schalksmuehle
142,schieder-schwalenberg
143,schlangen
144,schloß holte-stukenbrock
145,schoeppingen
146,schwalmtal
147,senden
148,sendenhorst
149,sonsbeck
150,spenge
151,sprockhoevel
152,steinhagen
153,steinheim
154,stemwede
155,straelen
156,tecklenburg
157,toenisvorst
158,uedem
159,velbert
160,verl
161,versmold
162,vettweiß
163,vlotho
164,voerde (niederrhein)
165,wachtberg
166,waldbroel
167,warstein
168,weeze
169,wegberg
170,welver
171,wenden
172,wermelskirchen
173,werther (westf.)
174,wetter (ruhr)
175,wickede (ruhr)
176,wiehl
177,willebadessen
178,wilnsdorf
179,winterberg
180,xanten
